# step source loss verdict alpha
188 0 2.3192 PASS 1.000
189 0 2.2595 PASS 1.000
190 0 2.7735 PASS 1.000
191 0 2.4603 PASS 1.000
192 0 2.6684 PASS 1.000
193 0 2.1560 PASS 1.000
194 0 2.2698 PASS 1.000
195 0 2.4428 PASS 1.000
196 0 2.6273 PASS 1.000
197 0 2.7145 PASS 1.000
198 0 2.3141 PASS 1.000
199 1 2.6836 PASS 1.000
200 0 2.2986 PASS 1.000
201 0 2.3079 PASS 1.000
202 0 2.5163 PASS 1.000
203 0 2.3196 PASS 1.000
204 0 2.2144 PASS 1.000
205 0 2.2766 PASS 1.000
206 1 2.6052 PASS 1.000
207 0 3.0061 PASS 1.000
208 0 2.2025 PASS 1.000
209 1 2.5269 PASS 1.000
210 0 2.3294 PASS 1.000
211 1 2.5527 PASS 1.000
212 0 2.2510 PASS 1.000
213 0 2.4278 PASS 1.000
214 0 2.3215 PASS 1.000
215 0 2.5521 PASS 1.000
216 0 3.1698 PASS 1.000
217 1 6.6349 PASS 1.000
218 0 2.5550 PASS 1.000
219 0 2.2208 PASS 1.000
220 0 2.6519 PASS 1.000
221 0 2.3440 PASS 1.000
222 0 2.2701 PASS 1.000
223 1 2.5612 PASS 1.000
224 0 2.4059 PASS 1.000
225 0 2.5150 PASS 1.000
226 0 2.3873 PASS 1.000
227 0 2.5194 PASS 1.000
228 0 2.5872 PASS 1.000
229 0 2.2102 PASS 1.000
230 0 2.1314 PASS 1.000
231 0 2.3699 PASS 1.000
232 0 2.5881 PASS 1.000
233 0 2.2700 PASS 1.000
234 0 2.3274 PASS 1.000
235 0 2.4474 PASS 1.000
236 0 2.3356 PASS 1.000
237 1 2.5519 PASS 1.000
238 0 2.4406 PASS 1.000
239 1 2.6600 PASS 1.000
240 0 2.2800 PASS 1.000
241 0 2.3475 PASS 1.000
242 1 2.5259 PASS 1.000
243 0 2.3235 PASS 1.000
244 0 2.6801 PASS 1.000
245 0 2.4207 PASS 1.000
246 0 2.4559 PASS 1.000
247 0 2.4300 PASS 1.000
248 0 2.4998 PASS 1.000
249 0 2.1765 PASS 1.000
250 0 2.2749 PASS 1.000
251 0 2.4513 PASS 1.000
252 0 2.5857 PASS 1.000
253 0 2.0525 PASS 1.000
254 0 2.2004 PASS 1.000
255 1 2.5442 PASS 1.000
256 0 2.2213 PASS 1.000
257 0 2.4564 PASS 1.000
258 0 2.3698 PASS 1.000
259 0 2.2838 PASS 1.000
260 0 2.2002 PASS 1.000
261 0 2.3257 PASS 1.000
262 0 2.5114 PASS 1.000
263 0 2.6014 PASS 1.000
264 0 2.3703 PASS 1.000
265 0 2.4592 PASS 1.000
266 0 2.5076 PASS 1.000
267 0 2.3676 PASS 1.000
268 0 2.3636 PASS 1.000
269 1 2.4803 PASS 1.000
270 0 2.4316 PASS 1.000
271 0 2.4439 PASS 1.000
272 0 2.3573 PASS 1.000
273 0 2.3280 PASS 1.000
274 0 2.0827 PASS 1.000
275 0 2.4064 PASS 1.000
276 0 2.5693 PASS 1.000
277 0 2.3579 PASS 1.000
278 0 2.3398 PASS 1.000
279 0 2.6364 PASS 1.000
280 0 2.3111 PASS 1.000
281 1 2.4154 PASS 1.000
282 0 2.2185 PASS 1.000
283 0 2.3720 PASS 1.000
284 0 2.4473 PASS 1.000
285 0 2.5924 PASS 1.000
286 0 2.4308 PASS 1.000
287 0 2.2775 PASS 1.000
288 1 2.5647 PASS 1.000
289 0 2.0535 PASS 1.000
290 0 2.4134 PASS 1.000
291 0 2.3911 PASS 1.000
292 0 2.5427 PASS 1.000
293 0 2.2617 PASS 1.000
294 0 2.3301 PASS 1.000
295 0 2.2521 PASS 1.000
296 1 2.5398 PASS 1.000
297 0 2.2945 PASS 1.000
298 0 2.0775 PASS 1.000
299 0 2.6777 PASS 1.000
300 0 2.3524 PASS 1.000
301 1 2.3494 PASS 1.000
302 0 2.1610 PASS 1.000
303 1 2.3295 PASS 1.000
304 0 2.0479 PASS 1.000
305 0 2.4940 PASS 1.000
306 0 1.9685 PASS 1.000
307 0 2.1454 PASS 1.000
308 0 2.0856 PASS 1.000
309 0 2.1143 PASS 1.000
310 0 2.4967 PASS 1.000
311 0 2.3442 PASS 1.000
312 0 2.1461 PASS 1.000
