# step source loss verdict alpha
164 0 2.3759 WEAKEN 0.999
165 0 2.6361 FREEZE 0.000
166 0 2.7413 WEAKEN 0.498
167 0 2.4028 WEAKEN 0.737
168 0 2.5098 WEAKEN 0.170
169 0 2.7015 WEAKEN 0.366
170 0 2.6463 FREEZE 0.000
171 0 2.3068 PASS 1.000
172 0 2.6322 WEAKEN 0.006
173 0 2.6389 WEAKEN 0.359
174 0 2.7296 FREEZE 0.000
175 0 2.3014 WEAKEN 0.648
176 0 2.1036 WEAKEN 0.721
177 0 2.5892 WEAKEN 0.927
178 0 2.6230 WEAKEN 0.504
179 0 2.7253 WEAKEN 0.131
180 0 2.8617 WEAKEN 0.043
181 0 2.3350 WEAKEN 0.931
182 0 2.3387 WEAKEN 0.296
183 0 2.3769 WEAKEN 0.409
184 0 2.6783 WEAKEN 0.484
185 1 3.0412 FREEZE 0.000
186 0 2.9162 WEAKEN 0.230
187 0 2.3990 FREEZE 0.000
188 0 2.4586 WEAKEN 0.280
189 0 3.0249 FREEZE 0.000
190 0 2.7165 WEAKEN 0.067
191 0 2.5584 WEAKEN 0.041
192 0 2.5571 WEAKEN 0.589
193 0 2.6741 WEAKEN 0.627
194 0 2.7254 WEAKEN 0.099
195 0 2.7593 WEAKEN 0.419
196 0 2.8008 WEAKEN 0.242
197 0 2.5835 WEAKEN 0.033
198 0 2.7727 FREEZE 0.000
199 0 2.2900 WEAKEN 0.815
200 0 2.4803 WEAKEN 0.538
201 0 2.5840 WEAKEN 0.175
202 0 2.4215 WEAKEN 0.730
203 1 2.9638 SCAR 0.000
204 0 2.6253 FREEZE 0.000
205 1 2.9388 SCAR 0.000
206 0 2.3345 PASS 1.000
207 0 2.6818 WEAKEN 0.455
208 0 2.3141 WEAKEN 0.515
209 0 2.4567 WEAKEN 0.295
210 0 2.3120 WEAKEN 0.737
211 0 2.6430 FREEZE 0.000
212 0 2.3878 WEAKEN 0.204
213 1 3.0246 FREEZE 0.000
214 0 2.6301 WEAKEN 0.245
215 0 2.4500 WEAKEN 0.424
216 0 2.6208 WEAKEN 0.718
217 1 3.0536 SCAR 0.000
218 0 2.4212 WEAKEN 0.901
219 1 3.0929 SCAR 0.000
220 0 2.6194 WEAKEN 0.183
221 0 2.4389 WEAKEN 0.726
222 0 2.4983 WEAKEN 0.864
223 0 2.9820 FREEZE 0.000
224 0 2.2468 WEAKEN 0.871
225 0 2.4425 WEAKEN 0.910
226 0 2.3726 WEAKEN 0.079
227 0 2.4484 WEAKEN 0.467
228 1 2.7285 SILENCE 0.000
229 0 2.3394 WEAKEN 0.417
230 0 2.3728 WEAKEN 0.365
231 0 2.2150 WEAKEN 0.775
232 0 2.8513 WEAKEN 0.615
233 0 2.4445 WEAKEN 0.536
234 0 2.6185 FREEZE 0.000
235 0 2.0838 PASS 1.000
236 0 2.8670 FREEZE 0.000
237 0 2.5396 WEAKEN 0.183
238 0 2.3723 WEAKEN 0.604
239 1 3.0343 SCAR 0.000
240 0 2.3550 WEAKEN 0.586
241 0 2.1200 WEAKEN 0.732
242 0 2.5323 WEAKEN 0.244
243 0 2.3184 WEAKEN 0.564
244 0 2.6559 WEAKEN 0.810
245 0 2.3686 PASS 1.000
246 0 2.3530 WEAKEN 0.434
247 0 2.6716 WEAKEN 0.749
248 0 2.4702 WEAKEN 0.238
249 0 2.6279 FREEZE 0.000
250 0 2.2508 WEAKEN 0.704
251 0 2.3684 FREEZE 0.000
252 0 2.4311 WEAKEN 0.226
253 0 2.7246 FREEZE 0.000
254 0 2.1654 WEAKEN 0.840
255 0 2.2717 WEAKEN 0.287
256 1 6.9187 FREEZE 0.000
257 0 2.7248 FREEZE 0.000
258 0 2.5978 WEAKEN 0.614
259 0 2.3696 WEAKEN 0.357
260 0 2.1814 WEAKEN 0.860
261 1 2.9407 DARK 0.000
262 0 2.4981 WEAKEN 0.492
263 0 2.8409 WEAKEN 0.080
264 0 2.7003 WEAKEN 0.303
265 0 2.6978 FREEZE 0.000
266 0 2.4609 WEAKEN 0.878
267 0 2.4982 WEAKEN 0.272
268 0 2.5097 WEAKEN 0.424
269 0 2.5649 WEAKEN 0.157
270 0 2.5528 WEAKEN 0.544
271 0 2.5193 WEAKEN 0.309
272 0 2.2928 WEAKEN 0.087
273 0 2.5990 WEAKEN 0.517
274 0 2.5666 FREEZE 0.000
275 0 2.7369 WEAKEN 0.426
276 0 2.2313 WEAKEN 0.190
277 0 2.4011 WEAKEN 0.381
278 0 2.2318 WEAKEN 0.905
279 0 2.4460 WEAKEN 0.012
280 0 2.2594 WEAKEN 0.947
281 0 2.5158 WEAKEN 0.675
282 0 2.6634 FREEZE 0.000
283 0 2.3443 WEAKEN 0.123
284 0 2.3616 WEAKEN 0.434
285 0 2.4251 WEAKEN 0.758
286 0 2.2435 PASS 1.000
287 0 2.7281 WEAKEN 0.020
288 0 2.6564 FREEZE 0.000
289 0 2.3438 WEAKEN 0.649
290 0 2.5204 WEAKEN 0.370
291 0 2.3139 WEAKEN 0.776
292 0 2.4877 FREEZE 0.000
293 0 2.6834 FREEZE 0.000
294 0 2.2857 WEAKEN 0.495
295 0 2.6341 FREEZE 0.000
296 0 2.3783 WEAKEN 0.192
297 0 2.3010 WEAKEN 0.324
298 0 2.4482 WEAKEN 0.018
299 1 8.4815 FREEZE 0.000
300 0 2.6682 WEAKEN 0.298
301 0 2.2745 WEAKEN 0.960
302 0 2.5606 WEAKEN 0.918
303 0 2.1235 WEAKEN 0.930
304 0 2.1915 WEAKEN 0.668
305 0 2.4202 WEAKEN 0.024
306 0 2.5993 WEAKEN 0.072
307 0 2.4324 WEAKEN 0.500
308 0 2.3263 WEAKEN 0.639
309 0 2.0887 WEAKEN 0.853
310 0 2.5011 FREEZE 0.000
311 0 2.3156 WEAKEN 0.183
312 1 2.9340 SCAR 0.000
313 0 2.9202 WEAKEN 0.107
314 0 2.3258 WEAKEN 0.691
315 0 2.3867 WEAKEN 0.775
316 0 2.4814 WEAKEN 0.888
317 1 7.6262 FREEZE 0.000
318 0 2.4212 WEAKEN 0.814
319 0 2.5811 WEAKEN 0.350
320 0 2.3622 WEAKEN 0.865
321 0 2.8762 WEAKEN 0.389
322 0 2.0332 WEAKEN 0.824
323 0 2.3156 WEAKEN 0.041
324 0 2.4584 WEAKEN 0.371
325 0 2.6814 WEAKEN 0.207
326 0 2.1392 WEAKEN 0.794
327 0 2.1385 WEAKEN 0.454
328 0 2.6683 FREEZE 0.000
329 0 2.3955 WEAKEN 0.824
330 0 2.1490 WEAKEN 0.613
331 0 2.4947 WEAKEN 0.493
332 0 2.3819 FREEZE 0.000
333 0 2.6239 WEAKEN 0.923
334 0 2.4861 FREEZE 0.000
335 0 2.2699 WEAKEN 0.948
336 0 2.6662 FREEZE 0.000
337 0 2.6733 WEAKEN 0.036
338 0 2.3201 WEAKEN 0.472
339 0 2.4076 WEAKEN 0.487
340 0 2.3590 WEAKEN 0.157
341 0 2.3160 PASS 1.000
342 0 2.1676 WEAKEN 0.374
343 0 2.2200 WEAKEN 0.665
344 0 2.6562 WEAKEN 0.038
345 0 2.6571 WEAKEN 0.081
346 0 2.5596 WEAKEN 0.153
347 1 2.7246 FREEZE 0.000
348 0 3.0713 FREEZE 0.000
349 0 2.6189 WEAKEN 0.081
350 0 2.6058 WEAKEN 0.403
351 0 2.2344 WEAKEN 0.233
352 1 4.3389 FREEZE 0.000
353 0 2.5608 FREEZE 0.000
354 0 2.3355 WEAKEN 0.466
355 0 2.4202 WEAKEN 0.841
356 1 2.6627 SILENCE 0.000
357 0 2.3704 PASS 1.000
358 0 2.5594 WEAKEN 0.176
359 0 2.2770 WEAKEN 0.673
360 0 2.2230 WEAKEN 0.559
361 0 2.7308 FREEZE 0.000
362 0 2.3584 WEAKEN 0.376
363 0 2.0610 PASS 1.000
364 0 2.6132 WEAKEN 0.378
365 0 2.3138 FREEZE 0.000
366 0 2.5470 FREEZE 0.000
367 0 2.2098 WEAKEN 0.220
368 0 2.1245 WEAKEN 0.876
369 0 2.9379 FREEZE 0.000
370 0 2.6434 WEAKEN 0.006
371 0 2.4291 WEAKEN 0.139
372 0 2.6472 FREEZE 0.000
373 0 2.4386 WEAKEN 0.657
374 0 2.4934 WEAKEN 0.291
375 1 2.7873 FREEZE 0.000
376 1 6.3835 FREEZE 0.000
377 0 2.1664 WEAKEN 0.659
378 0 2.5317 FREEZE 0.000
379 0 2.0588 WEAKEN 0.896
380 0 2.4911 FREEZE 0.000
381 0 2.5120 FREEZE 0.000
382 0 2.2749 FREEZE 0.000
383 0 2.3519 WEAKEN 0.598
384 0 2.2174 WEAKEN 0.711
385 0 2.1679 FREEZE 0.000
386 0 2.5044 WEAKEN 0.141
387 0 2.4953 WEAKEN 0.700
388 0 2.5387 FREEZE 0.000
389 0 2.6158 WEAKEN 0.406
390 0 2.4929 FREEZE 0.000
391 0 2.4533 WEAKEN 0.384
392 0 2.7281 WEAKEN 0.977
393 0 2.3296 WEAKEN 0.877
394 1 2.7660 FREEZE 0.000
395 0 2.2944 WEAKEN 0.180
396 0 2.2837 WEAKEN 0.628
397 0 2.2860 WEAKEN 0.617
398 0 2.4239 WEAKEN 0.196
399 0 2.7980 WEAKEN 0.290
400 0 2.7321 FREEZE 0.000
401 0 2.1168 WEAKEN 0.880
402 0 2.3679 WEAKEN 0.386
403 0 2.5300 WEAKEN 0.237
404 0 2.1743 WEAKEN 0.613
405 0 2.0234 WEAKEN 0.154
406 0 2.3191 WEAKEN 0.821
407 0 2.2692 WEAKEN 0.843
408 0 2.5462 WEAKEN 0.633
409 0 2.6043 WEAKEN 0.025
410 0 2.5138 FREEZE 0.000
411 1 3.1039 SCAR 0.000
412 0 2.8344 SILENCE 0.000
413 0 2.1558 WEAKEN 0.781
414 0 2.5409 FREEZE 0.000
415 0 2.2854 WEAKEN 0.789
416 0 2.4895 FREEZE 0.000
417 0 2.4723 WEAKEN 0.177
418 0 2.6618 FREEZE 0.000
419 0 2.7903 FREEZE 0.000
420 0 2.8319 WEAKEN 0.308
421 0 2.6627 FREEZE 0.000
422 0 2.4430 WEAKEN 0.417
423 0 2.6942 FREEZE 0.000
424 0 2.2350 WEAKEN 0.303
425 0 2.3425 WEAKEN 0.913
426 0 2.2877 PASS 1.000
427 0 2.2722 WEAKEN 0.579
428 0 2.4397 WEAKEN 0.295
429 0 2.2676 WEAKEN 0.344
430 0 2.3804 WEAKEN 0.530
431 0 2.5687 WEAKEN 0.687
432 0 2.2775 WEAKEN 0.738
433 0 2.1150 WEAKEN 0.672
434 0 2.1536 WEAKEN 0.416
435 0 2.5178 WEAKEN 0.040
436 0 2.2737 WEAKEN 0.905
437 0 2.2970 WEAKEN 0.326
438 0 2.2237 WEAKEN 0.770
439 0 2.9038 WEAKEN 0.052
440 0 2.3747 PASS 1.000
441 1 2.6937 SCAR 0.000
442 0 2.4526 WEAKEN 0.256
443 0 2.0603 WEAKEN 0.930
444 0 2.5965 WEAKEN 0.219
445 0 2.6053 WEAKEN 0.203
446 0 2.6071 WEAKEN 0.156
447 0 2.4302 WEAKEN 0.263
448 0 2.3099 WEAKEN 0.853
449 0 2.2658 WEAKEN 0.919
450 0 2.3456 WEAKEN 0.762
451 0 2.2628 WEAKEN 0.657
452 0 2.4407 WEAKEN 0.346
453 0 2.4218 WEAKEN 0.309
454 1 2.6888 SILENCE 0.000
455 0 2.7101 FREEZE 0.000
456 1 2.6996 FREEZE 0.000
457 0 2.3666 WEAKEN 0.590
458 0 2.3709 WEAKEN 0.629
459 1 2.7787 SILENCE 0.000
460 1 2.7017 FREEZE 0.000
461 0 2.2530 WEAKEN 0.901
462 0 2.2842 WEAKEN 0.651
463 0 2.4755 WEAKEN 0.896
464 0 2.3806 WEAKEN 0.174
465 1 2.7187 SCAR 0.000
466 1 2.7049 SCAR 0.000
467 0 2.5361 FREEZE 0.000
468 0 2.2486 WEAKEN 0.656
469 0 2.2369 WEAKEN 0.870
470 0 2.1954 WEAKEN 0.946
471 0 2.1764 WEAKEN 0.349
472 0 2.4099 WEAKEN 0.636
473 0 2.5657 WEAKEN 0.427
474 0 2.2505 WEAKEN 0.605
475 0 2.0365 WEAKEN 0.676
476 0 2.3138 WEAKEN 0.628
477 0 2.2551 FREEZE 0.000
478 0 2.5250 WEAKEN 0.038
479 0 2.5819 WEAKEN 0.116
480 0 2.4189 WEAKEN 0.002
481 0 2.5486 WEAKEN 0.045
482 0 2.4177 FREEZE 0.000
483 0 2.5161 FREEZE 0.000
484 0 3.0050 WEAKEN 0.297
485 0 2.4716 PASS 1.000
486 0 2.0087 WEAKEN 0.655
487 0 2.1483 WEAKEN 0.974
488 0 2.4724 WEAKEN 0.134
489 0 2.7006 WEAKEN 0.913
490 0 2.2011 WEAKEN 0.404
491 0 2.3797 WEAKEN 0.659
492 1 2.9531 SCAR 0.000
493 0 2.2810 WEAKEN 0.424
494 0 2.5191 FREEZE 0.000
495 0 2.7070 FREEZE 0.000
496 0 2.5388 WEAKEN 0.554
497 0 2.4743 WEAKEN 0.071
498 0 2.3389 WEAKEN 0.275
499 0 2.6737 WEAKEN 0.136
500 0 2.5197 WEAKEN 0.259
501 0 2.2395 WEAKEN 0.714
502 0 2.3601 WEAKEN 0.979
503 0 2.0193 WEAKEN 0.441
504 0 2.4971 FREEZE 0.000
505 0 2.0499 WEAKEN 0.739
506 0 2.1260 WEAKEN 0.927
507 0 2.1220 WEAKEN 0.824
508 0 1.9910 WEAKEN 0.227
509 0 2.6203 WEAKEN 0.577
510 0 2.4977 WEAKEN 0.555
511 0 2.1548 WEAKEN 0.514
512 1 2.9614 FREEZE 0.000
513 0 2.4652 WEAKEN 0.061
514 0 2.3452 WEAKEN 0.864
515 0 2.0879 WEAKEN 0.486
516 0 2.1731 WEAKEN 0.755
517 1 2.7926 FREEZE 0.000
518 0 2.5164 WEAKEN 0.371
519 1 2.8254 FREEZE 0.000
520 0 2.7365 WEAKEN 0.226
521 0 2.1690 WEAKEN 0.818
522 0 2.3313 WEAKEN 0.293
523 0 2.0069 WEAKEN 0.870
524 0 2.3659 FREEZE 0.000
525 0 2.2385 WEAKEN 0.521
526 0 2.7228 FREEZE 0.000
527 0 2.1116 WEAKEN 0.326
528 0 2.4176 WEAKEN 0.022
529 0 2.0487 WEAKEN 0.625
530 0 2.2064 PASS 1.000
531 0 2.5965 WEAKEN 0.392
532 0 2.4995 WEAKEN 0.406
533 0 2.2603 WEAKEN 0.520
534 0 2.3120 WEAKEN 0.764
535 0 1.9572 WEAKEN 0.302
536 0 2.3967 FREEZE 0.000
537 0 2.3404 WEAKEN 0.584
538 0 2.2720 WEAKEN 0.797
539 0 2.4313 WEAKEN 0.304
540 0 2.1029 WEAKEN 0.165
541 1 2.9050 SCAR 0.000
542 0 2.2241 PASS 1.000
543 0 2.3134 WEAKEN 0.740
544 1 2.9030 FREEZE 0.000
545 0 2.1479 WEAKEN 0.869
546 0 2.3991 WEAKEN 0.202
547 0 2.3747 WEAKEN 0.584
548 0 2.1591 WEAKEN 0.654
549 0 2.3594 WEAKEN 0.221
550 0 2.1209 WEAKEN 0.656
551 0 2.1144 WEAKEN 0.643
552 0 2.5994 FREEZE 0.000
553 0 2.0822 WEAKEN 0.717
554 0 2.6277 SCAR 0.000
555 0 2.5660 WEAKEN 0.469
556 0 2.7583 FREEZE 0.000
557 0 2.1736 WEAKEN 0.803
558 0 2.2528 WEAKEN 0.262
559 0 2.1958 WEAKEN 0.697
560 0 2.0900 WEAKEN 0.534
561 0 2.2064 WEAKEN 0.441
562 1 2.7869 FREEZE 0.000
563 0 2.1322 WEAKEN 0.110
564 0 2.2035 PASS 1.000
565 0 2.2334 WEAKEN 0.714
566 0 2.0667 WEAKEN 0.544
567 0 2.2460 FREEZE 0.000
568 0 2.4046 WEAKEN 0.246
569 0 2.5741 WEAKEN 0.657
570 0 2.1864 WEAKEN 0.682
571 0 1.9981 WEAKEN 0.788
572 0 2.2692 WEAKEN 0.219
573 0 1.9648 WEAKEN 0.945
574 0 2.2515 WEAKEN 0.535
575 0 2.0447 WEAKEN 0.936
576 0 2.3016 WEAKEN 0.433
577 0 2.5050 WEAKEN 0.490
578 0 2.2381 WEAKEN 0.665
579 0 2.4695 WEAKEN 0.216
580 0 2.2719 PASS 1.000
581 0 2.3415 WEAKEN 0.786
582 0 2.5655 WEAKEN 0.220
583 1 2.8398 SCAR 0.000
584 0 2.1608 WEAKEN 0.395
585 1 6.5407 SILENCE 0.000
586 0 2.4574 WEAKEN 0.207
587 0 2.1556 WEAKEN 0.908
588 0 2.5415 WEAKEN 0.001
589 0 2.6176 SILENCE 0.000
590 0 2.3987 WEAKEN 0.697
591 0 2.5642 WEAKEN 0.229
592 1 3.1642 SCAR 0.000
593 0 2.5379 WEAKEN 0.501
594 0 2.6104 WEAKEN 0.100
