# step source loss verdict alpha
164 0 2.3759 WEAKEN 0.996
165 0 2.6362 FREEZE 0.000
166 0 2.7414 WEAKEN 0.497
167 0 2.4029 WEAKEN 0.736
168 0 2.5098 WEAKEN 0.169
169 0 2.7013 WEAKEN 0.365
170 0 2.6463 FREEZE 0.000
171 0 2.3067 PASS 1.000
172 0 2.6322 WEAKEN 0.004
173 0 2.6391 WEAKEN 0.357
174 0 2.7297 FREEZE 0.000
175 0 2.3013 WEAKEN 0.646
176 0 2.1038 WEAKEN 0.719
177 0 2.5891 WEAKEN 0.924
178 0 2.6232 WEAKEN 0.503
179 0 2.7254 WEAKEN 0.130
180 0 2.8618 WEAKEN 0.043
181 0 2.3353 WEAKEN 0.929
182 0 2.3389 WEAKEN 0.295
183 0 2.3770 WEAKEN 0.407
184 0 2.6782 WEAKEN 0.482
185 1 3.0413 FREEZE 0.000
186 0 2.9163 WEAKEN 0.229
187 0 2.3991 FREEZE 0.000
188 0 2.4584 WEAKEN 0.279
189 0 3.0250 FREEZE 0.000
190 0 2.7164 WEAKEN 0.067
191 0 2.5583 WEAKEN 0.040
192 0 2.5572 WEAKEN 0.588
193 0 2.6741 WEAKEN 0.625
194 0 2.7257 WEAKEN 0.098
195 0 2.7594 WEAKEN 0.418
196 0 2.8009 WEAKEN 0.241
197 0 2.5839 WEAKEN 0.033
198 0 2.7729 FREEZE 0.000
199 0 2.2899 WEAKEN 0.813
200 0 2.4802 WEAKEN 0.536
201 0 2.5840 WEAKEN 0.174
202 0 2.4218 WEAKEN 0.728
203 1 2.9644 SCAR 0.000
204 0 2.6252 FREEZE 0.000
205 1 2.9391 SCAR 0.000
206 0 2.3342 PASS 1.000
207 0 2.6817 WEAKEN 0.453
208 0 2.3137 WEAKEN 0.513
209 0 2.4564 WEAKEN 0.293
210 0 2.3119 WEAKEN 0.735
211 0 2.6431 FREEZE 0.000
212 0 2.3865 WEAKEN 0.203
213 1 3.0252 FREEZE 0.000
214 0 2.6297 WEAKEN 0.244
215 0 2.4486 WEAKEN 0.422
216 0 2.6199 WEAKEN 0.716
217 1 3.0547 SCAR 0.000
218 0 2.4212 WEAKEN 0.899
219 1 3.0944 SCAR 0.000
220 0 2.6202 WEAKEN 0.182
221 0 2.4404 WEAKEN 0.723
222 0 2.4996 WEAKEN 0.861
223 0 2.9826 FREEZE 0.000
224 0 2.2469 WEAKEN 0.868
225 0 2.4427 WEAKEN 0.908
226 0 2.3719 WEAKEN 0.078
227 0 2.4492 WEAKEN 0.466
228 1 2.7287 SILENCE 0.000
229 0 2.3396 WEAKEN 0.416
230 0 2.3728 WEAKEN 0.363
231 0 2.2158 WEAKEN 0.773
232 0 2.8520 WEAKEN 0.613
233 0 2.4439 WEAKEN 0.533
234 0 2.6188 FREEZE 0.000
235 0 2.0842 PASS 1.000
236 0 2.8675 FREEZE 0.000
