# step source loss verdict alpha
164 0 2.3747 PASS 1.000
165 0 2.6246 FREEZE 0.000
166 0 2.7400 WEAKEN 0.569
167 0 2.3885 WEAKEN 0.795
168 0 2.5098 WEAKEN 0.235
169 0 2.6899 WEAKEN 0.406
170 0 2.6348 FREEZE 0.000
171 0 2.3149 PASS 1.000
172 0 2.6232 WEAKEN 0.048
173 0 2.6293 WEAKEN 0.415
174 0 2.7249 WEAKEN 0.045
175 0 2.3022 WEAKEN 0.728
176 0 2.1005 WEAKEN 0.803
177 0 2.5941 PASS 1.000
178 0 2.6122 WEAKEN 0.555
179 0 2.7215 WEAKEN 0.171
180 0 2.8396 WEAKEN 0.129
181 0 2.3169 PASS 1.000
182 0 2.3266 WEAKEN 0.394
183 0 2.3659 WEAKEN 0.458
184 0 2.6716 WEAKEN 0.556
185 1 3.0202 FREEZE 0.000
186 0 2.9182 WEAKEN 0.249
187 0 2.3952 WEAKEN 0.047
188 0 2.4513 WEAKEN 0.336
189 0 2.9936 WEAKEN 0.001
190 0 2.7107 WEAKEN 0.118
191 0 2.5672 WEAKEN 0.086
192 0 2.5466 WEAKEN 0.653
193 0 2.6470 WEAKEN 0.673
194 0 2.7144 WEAKEN 0.176
195 0 2.7589 WEAKEN 0.495
196 0 2.7904 WEAKEN 0.304
197 0 2.5312 WEAKEN 0.082
198 0 2.7536 FREEZE 0.000
199 0 2.3304 WEAKEN 0.905
200 0 2.4875 WEAKEN 0.629
201 0 2.6098 WEAKEN 0.212
202 0 2.4103 WEAKEN 0.794
203 1 2.9324 SCAR 0.000
204 0 2.6459 FREEZE 0.000
205 1 2.9105 SCAR 0.000
206 0 2.3483 PASS 1.000
207 0 2.6802 WEAKEN 0.510
208 0 2.3360 WEAKEN 0.600
209 0 2.4839 WEAKEN 0.335
210 0 2.2967 WEAKEN 0.825
211 0 2.6426 FREEZE 0.000
212 0 2.3809 WEAKEN 0.288
213 1 2.9750 FREEZE 0.000
214 0 2.6204 WEAKEN 0.341
215 0 2.4438 WEAKEN 0.488
216 0 2.6147 WEAKEN 0.799
